,baseline,v5,v5(compound),defensive,defensive(fixed),balanced,balanced(fixed),aggressive,aggressive(fixed),SOXL 보유
2005-07-05,131799096.8070382,100240896.23412469,97093862.46691594,132165919.78197485,129175622.983979,143876703.70067814,139933522.85126603,137420519.0011075,150766225.48943168,3204131.263271386
2005-07-06,131895905.05819336,100337704.48527983,97187320.74706191,132383369.11437286,129345918.49279355,144652300.2691117,140506626.33499664,138498329.90209273,151625880.7150276,3288396.9451320325
2005-07-07,131895905.05819336,100337704.48527983,97187320.74706191,132469182.40770379,129413123.19878039,144765219.04934752,140590064.23166302,138655247.94069356,151751037.56002718,3328530.457434824
2005-07-08,131895905.05819336,100337704.48527983,97187320.74706191,132469182.40770379,129413123.19878039,144765219.04934752,140590064.23166302,138655247.94069356,151751037.56002718,3541852.8496026136
2005-07-11,131895905.05819336,100337704.48527983,97187320.74706191,132469182.40770379,129413123.19878039,144765219.04934752,140590064.23166302,138655247.94069356,151751037.56002718,3783250.214413538
2005-07-12,131895905.05819336,100337704.48527983,97187320.74706191,132469182.40770379,129413123.19878039,144765219.04934752,140590064.23166302,138655247.94069356,151751037.56002718,3879301.4123943774
2005-07-13,131895905.05819336,100337704.48527983,97187320.74706191,132469182.40770379,129413123.19878039,144765219.04934752,140590064.23166302,138655247.94069356,151751037.56002718,3911855.677481843
2005-07-14,131895905.05819336,100337704.48527983,97187320.74706191,132469182.40770379,129413123.19878039,144765219.04934752,140590064.23166302,138655247.94069356,151751037.56002718,4032566.209867317
2005-07-15,131888412.55078799,100330211.97787446,97180038.98051253,132469182.40770379,129413123.19878039,144742682.11591908,140573411.25047907,138623929.4002144,151726058.08825123,3997078.8377274163
2005-07-18,131764226.76112229,100206026.18820876,97059346.69437578,132469182.40770379,129413123.19878039,144369293.17034328,140297506.8509429,138105047.94530836,151312201.488947,3934825.6787360455
2005-07-19,132656357.70471203,101098157.13179852,97926352.09265785,132469182.40770379,129413123.19878039,147043571.09532404,142273583.14839962,141821369.05491516,154276315.9351321,4175098.717443483
2005-07-20,132656357.70471203,101098157.13179852,97926352.09265785,132469182.40770379,129413123.19878039,147043571.09532404,142273583.14839962,141821369.05491516,154276315.9351321,4296818.868125934
2005-07-21,132648865.20074674,101090664.62783323,97919014.95351145,132453734.26170334,129401024.978683,147021928.13830522,142257590.7438809,141791292.83236104,154252327.328354,4087860.112597563
2005-07-22,132787842.70860802,101229642.1356945,98055110.61900905,132754455.36480601,129636534.79928991,147443240.43745875,142568906.6472907,142376771.16894507,154719301.1834687,4167853.16566528
2005-07-25,132780350.203176,101222149.6302625,98047763.83583507,132667419.6105412,129568372.72266208,147321302.75713125,142478804.50883636,142207319.9794391,154584147.9757872,4142262.8968309457
2005-07-26,133091337.28635201,101533136.7134385,98352702.5096511,133252177.09926727,130026325.72246006,148140551.953415,143084163.77361748,143345792.93086195,155492186.8729589,4318511.9155341005
2005-07-27,133083844.77915329,101525644.20623977,98345333.42821921,133236336.9499949,130013920.5048846,148118339.845295,143067750.8122112,143314925.78518343,155467567.43084943,4220286.009221559
2005-07-28,133190721.12736382,101632520.5544503,98450449.17815652,133476761.62235437,130202209.15796763,148455479.27026725,143316869.73152867,143783432.9475099,155841245.80982566,4284770.756448688
2005-07-29,133183228.62238483,101625028.04947132,98443072.77213377,133196803.22437984,129982959.65600678,148062904.9123307,143026788.8553186,143237890.40690038,155406124.4955105,4206605.444297937
2005-08-01,133213902.07262847,101661726.06880963,98479202.14388865,133347385.95554951,130100888.5663439,148274052.6117769,143182810.02284223,143531312.65945196,155640156.24679592,4228054.856117069
2005-08-02,133213902.07262847,102041687.51830997,98853276.01730517,135066096.15805244,131446896.96844986,150684034.8351985,144963593.05384666,146880354.1809099,158311330.79330263,4499211.786729558
2005-08-03,133206409.56611115,102034195.01179264,98845869.43031584,135066096.15805244,131446896.96844986,150661627.3137242,144947035.6976884,146849215.47827506,158286494.7590652,4434186.680413906
2005-08-04,132709933.89805335,101537719.34373485,98355087.595087,135050919.6825553,131435011.50718725,149192913.55721042,143861774.3585864,144808211.48003075,156658602.75041223,4147754.651567454
2005-08-05,132403112.68101147,101230898.12669297,98051830.59639853,134817910.44119036,131252530.25107512,148522109.87553898,143366104.3898014,143876026.43699133,155915097.7972347,4084072.858985901
2005-08-08,131873916.64387183,100701702.08955333,97529503.34079894,134509871.90982404,131011289.78436491,147248752.22271013,142425195.49905533,142106499.83652726,154503734.46111566,4004240.017647938
2005-08-09,133213971.78671338,102041757.23239487,98850367.52527156,135725316.76239637,131963165.77921046,150652085.9549087,144939985.40092432,146835956.29049614,158275919.31391907,4165957.1688634474
2005-08-10,132547778.41825795,101375563.86393946,98191832.37134194,135205458.41548365,131556041.66355377,148257982.74830377,143170894.2361973,143509002.20254666,155622282.56682852,3991424.9752643523
2005-08-11,133362421.11976753,102190206.56544904,98997112.2370178,135878557.05193263,132082484.09315468,150143310.75213957,144560779.01879025,146130595.01058865,157707109.74071795,4123786.4079970876
