Date,baseline,v5
2005-11-16,138851977.6434521,108560439.40402484
2005-11-17,139343787.99223995,109246420.68239106
2005-11-18,139343787.99223995,109246420.68239106
2005-11-21,139336295.48542768,109238928.17557877
2005-11-22,139639147.66411418,109541780.35426524
2005-11-23,139639147.66411418,109541780.35426524
2005-11-25,139639147.66411418,109541780.35426524
2005-11-28,139631655.15879062,109534287.8489417
2005-11-29,139510781.20823395,109413413.89838502
2005-11-30,140006113.20720348,109908745.89735456
2005-12-01,140006113.20720348,109908745.89735456
2005-12-02,139998620.70516944,109901253.39532052
2005-12-05,139688612.60471082,109591245.29486191
2005-12-06,140105648.15430966,110008280.84446076
2005-12-07,139862918.67078266,109765551.36093374
2005-12-08,139039006.09814426,108941638.78829536
2005-12-09,140110874.34506756,110013507.03521864
2005-12-12,140462503.5351855,110365136.22533658
2005-12-13,140483517.38978797,110386150.07993907
2005-12-14,140424699.9294285,110327332.61957958
2005-12-15,140246667.74643862,110149300.4365897
2005-12-16,139916664.27774236,109819296.96789345
2005-12-19,138178841.7572133,108081474.44736437
2005-12-20,138458008.63945597,108366667.5783735
2005-12-21,138749268.75918865,108703794.3394778
2005-12-22,139878160.89239717,110013923.91860268
2005-12-23,140033608.07484895,110237442.78032301
2005-12-27,140026115.56841022,109741377.75110157
2005-12-28,140039138.1661821,109780381.91507345
2005-12-29,139871659.57103944,109286220.28133859
2005-12-30,139590443.7176941,108596918.86829753
2006-01-03,141247238.900926,112973580.14160147
2006-01-04,141247238.900926,112973580.14160147
2006-01-05,141247238.900926,112973580.14160147
2006-01-06,141247238.900926,112973580.14160147
2006-01-09,141247238.900926,112973580.14160147
2006-01-10,141247238.900926,112973580.14160147
2006-01-11,141247238.900926,112973580.14160147
2006-01-12,141239746.39571315,112966087.63638863
2006-01-13,141055053.30016184,112781394.54083732
2006-01-17,140349905.8795375,112076247.12021299
2006-01-18,139595997.4944144,111322338.7350899
2006-01-19,142773217.5909688,114509647.72389993
2006-01-20,142765725.0851737,113368100.0680852
2006-01-23,142852403.05985272,113602887.17339103
2006-01-24,142852403.05985272,114065368.15246756
2006-01-25,142852403.05985272,114084953.9559789
2006-01-26,142852403.05985272,114470662.2564137
2006-01-27,142852403.05985272,114470662.2564137
2006-01-30,142844910.55717552,114463169.7537365
2006-01-31,142540246.2826506,114158505.47921157
2006-02-01,142975464.1086712,114593723.30523215
2006-02-02,142696347.79269344,114314606.98925442
2006-02-03,142065161.01142028,113683420.20798124
2006-02-06,143025955.74889898,114644214.94545996
2006-02-07,143125080.6569196,114748185.81102562
2006-02-08,143528647.31848252,115400824.73702334
2006-02-09,143521154.81360495,115393332.23214579
2006-02-10,143359940.8939035,115232118.31244431
2006-02-13,142794595.96526954,114666773.38381037
2006-02-14,143586282.72743994,115458460.14598076
2006-02-15,143711775.1844164,115583952.60295726
2006-02-16,144095431.84216106,115967609.26070188
2006-02-17,144087939.33687854,115960116.75541937
2006-02-21,143645323.54862362,115517500.96716447
2006-02-22,144175731.9360505,116047909.35459132
2006-02-23,143846873.0790534,115719050.49759422
2006-02-24,143939901.68694657,115818109.07106094
2006-02-27,144037915.64781627,115987803.37417355
2006-02-28,143904178.56211054,115854066.28846782
2006-03-01,145467872.42110157,117417760.14745887
2006-03-02,145467872.42110157,117417760.14745887
2006-03-03,145460379.9191722,117410267.64552948
2006-03-06,145240798.60037214,117190686.32672943
2006-03-07,144037307.41873583,115987195.14509313
2006-03-08,143667756.07388505,115617643.80024235
2006-03-09,142100423.5463143,114050311.2726716
2006-03-10,141598421.97711462,113548309.70347191
2006-03-13,140834599.9093027,112784487.63566
