Date,Close,Open,High,Low,Volume
2009-08-14,11.757492,11.895947,11.895947,11.619037,771000
2009-08-17,11.433028,11.518339,11.518339,11.347716,524400
2009-08-18,11.532327,11.412053,11.652601,11.412053,227400
2009-08-19,11.570088,11.428836,11.711341,11.428836,469200
2009-08-20,11.726724,11.649804,11.803643,11.649804,380400
2009-08-21,11.860981,11.848394,12.007828,11.714135,438600
2009-08-24,11.995251,12.041403,12.142098,11.848405,337500
2009-08-25,11.921125,11.921125,12.016225,11.826025,272400
2009-08-26,11.989652,11.904342,12.074963,11.904342,602100
2009-08-27,11.960282,12.007832,12.074962,11.845602,269400
2009-08-28,12.357468,12.301527,12.511308,12.203629,674100
2009-08-31,12.146287,12.234395,12.239989,12.052585,358200
2009-09-01,12.111317,12.069361,12.407807,11.814828,984000
2009-09-02,11.853989,11.784063,11.957481,11.750498,345900
2009-09-03,11.902944,11.859588,12.007834,11.798053,243300
2009-09-04,12.160271,12.058178,12.30432,12.016222,313500
2009-09-08,12.441375,12.438578,12.564446,12.318304,563700
2009-09-09,12.571439,12.575635,12.715488,12.427391,1254900
2009-09-10,12.78402,12.715491,12.902895,12.665144,1001400
2009-09-11,12.732275,12.866533,12.877723,12.586826,837300
2009-09-14,12.614796,12.55326,12.679128,12.550463,345600
2009-09-15,12.739263,12.695908,12.818979,12.659547,397200
2009-09-16,12.725279,12.824575,12.824575,12.625983,429600
2009-09-17,12.582622,12.6987,12.743454,12.421791,584100
2009-09-18,12.543468,12.497317,12.631576,12.455361,320400
2009-09-21,12.518295,12.477738,12.606402,12.430187,466800
2009-09-22,12.646963,12.645565,12.746259,12.547667,1304700
2009-09-23,12.811986,12.774226,12.936456,12.687516,737700
2009-09-24,12.540672,12.771431,12.782619,12.298726,707700
2009-09-25,12.34907,12.351867,12.455359,12.242782,406500
2009-09-28,12.572839,12.455362,12.709895,12.435782,349200
2009-09-29,12.567244,12.653953,12.72388,12.410608,573900
2009-09-30,12.481933,12.486129,12.679126,12.28474,765600
2009-10-01,12.231596,12.508507,12.536477,11.926715,2277600
2009-10-02,11.887557,11.814833,12.013425,11.761689,718200
2009-10-05,11.911327,11.842799,12.052579,11.770075,764700
2009-10-06,12.227401,12.119714,12.335089,12.119714,1648500
2009-10-07,12.213414,12.248377,12.281942,12.144885,800400
2009-10-08,12.142091,12.284741,12.284741,11.99944,1052700
2009-10-09,12.36026,12.156074,12.57004,12.150479,784800
2009-10-12,12.740662,12.614793,12.883313,12.598011,341700
2009-10-13,12.732269,12.768632,12.821775,12.642763,512400
2009-10-14,12.877717,12.997991,13.009179,12.746255,1026300
2009-10-15,12.718286,12.782618,12.827372,12.6092,1094400
2009-10-16,12.398019,12.533678,12.542068,12.25397,1300800
2009-10-19,12.483332,12.42739,12.617591,12.349073,564000
2009-10-20,12.625981,12.648358,12.749052,12.50291,880200
2009-10-21,12.493124,12.550464,12.693115,12.293133,825000
2009-10-22,12.309914,12.31271,12.49452,12.125307,1264200
2009-10-23,12.269358,12.43858,12.460957,12.077758,1089000
2009-10-26,12.168661,12.111322,12.360261,11.977062,1235100
2009-10-27,11.981258,12.094539,12.200828,11.761688,1217100
2009-10-28,11.654002,11.775674,11.867978,11.440026,1805700
2009-10-29,11.662389,11.557499,11.767279,11.557499,798900
2009-10-30,11.507152,11.688962,11.702947,11.311357,1259100
2009-11-02,11.335136,11.364504,11.479185,11.191086,1293900
2009-11-03,11.147729,11.191084,11.263807,11.03165,1286100
2009-11-04,11.434432,11.358911,11.54072,11.328143,884700
2009-11-05,11.599459,11.51275,11.725327,11.473591,458700
2009-11-06,11.732322,11.616244,11.856792,11.607853,339900
2009-11-09,11.965872,11.85399,12.097335,11.83441,468000
2009-11-10,12.084752,12.066571,12.203627,11.965877,862500
2009-11-11,12.29453,12.223205,12.396623,12.192437,1288200
2009-11-12,12.318307,12.312712,12.455363,12.18125,477000
2009-11-13,12.251175,12.245581,12.346275,12.156075,299100
2009-11-16,12.546265,12.472143,12.620388,12.472143,137700
2009-11-17,12.540676,12.522495,12.620393,12.46096,90900
2009-11-18,12.528082,12.600807,12.625981,12.430184,93300
2009-11-19,12.115517,12.295927,12.295927,11.935106,480600
2009-11-20,11.972869,12.005036,12.027412,11.918326,306900
2009-11-23,12.179851,12.142091,12.267958,12.091743,177300
2009-11-24,12.179849,12.156074,12.24558,12.114118,223200
2009-11-25,12.270754,12.234392,12.307116,12.234392,110700
2009-11-27,12.024609,11.884755,12.184042,11.865176,215700
2009-11-30,12.044189,12.125304,12.133695,11.954683,163800
2009-12-01,12.392431,12.2316,12.553263,12.2316,189000
2009-12-02,12.649758,12.578432,12.793807,12.505708,222900
2009-12-03,12.859539,12.709896,13.009183,12.709896,260700
2009-12-04,12.999394,12.989604,13.179805,12.818983,310800
2009-12-07,13.184,13.070718,13.297281,13.070718,378900
2009-12-08,13.087503,13.13785,13.196589,12.978417,453000
2009-12-09,13.093097,13.11827,13.179806,13.006387,188700
2009-12-10,13.214768,13.199383,13.308469,13.121066,436800
2009-12-11,13.076313,13.154631,13.179805,12.972821,233700
2009-12-14,13.150432,13.143439,13.232946,13.067918,221100
2009-12-15,13.210569,13.177004,13.311263,13.109874,462600
2009-12-16,13.336436,13.182597,13.490276,13.182597,228000
2009-12-17,13.23994,13.263716,13.34483,13.13505,125400
2009-12-18,13.234345,13.196585,13.330844,13.137846,188700
2009-12-21,13.529627,13.435486,13.623768,13.435486,317700
2009-12-22,13.706673,13.674355,13.755851,13.657495,999600
2009-12-23,13.724935,13.772708,13.78957,13.660301,417900
2009-12-24,13.823296,13.761473,13.88512,13.761473,60600
2009-12-28,13.813459,13.927272,13.944133,13.682785,395100
2009-12-29,13.695431,13.755851,13.75866,13.632202,588300
2009-12-30,13.803624,13.682786,13.924462,13.682786,169800
2009-12-31,13.91603,13.966614,13.997525,13.834535,138000
2010-01-04,14.04108,13.991902,14.12679,13.95537,380400
2010-01-05,13.998938,14.025635,14.10432,13.893556,616800
2010-01-06,13.989096,13.983476,14.053731,13.924462,219300
2010-01-07,13.83032,13.927271,13.927271,13.733369,300600
2010-01-08,13.921655,13.800817,14.042493,13.800817,232800
2010-01-11,14.007361,14.093072,14.135224,13.879498,269100
2010-01-12,13.639228,13.859827,13.859827,13.418628,316800
2010-01-13,13.502933,13.584428,13.705266,13.3006,342600
2010-01-14,13.575993,13.637816,13.654678,13.497308,424200
2010-01-15,13.394743,13.629394,13.629394,13.160092,491400
2010-01-19,13.29217,13.207864,13.376475,13.207864,397800
2010-01-20,13.262662,13.286549,13.353994,13.171331,916200
2010-01-21,13.373667,13.345566,13.559139,13.188196,762900
2010-01-22,12.894525,13.188189,13.188189,12.600861,733200
2010-01-25,12.80179,12.716079,12.901551,12.702028,536400
2010-01-26,12.782121,12.746994,12.881883,12.68236,616200
2010-01-27,12.754025,12.702036,12.90437,12.60368,782700
2010-01-28,12.585408,12.876262,12.876262,12.294555,1183800
2010-01-29,12.347948,12.561522,12.699221,11.996675,899100
2010-02-01,12.318443,12.134376,12.50251,12.134376,1690500
2010-02-02,12.560116,12.499697,12.679549,12.440684,703200
2010-02-03,12.598054,12.586813,12.68798,12.508128,481200
2010-02-04,12.266453,12.482838,12.482838,12.050069,614700
2010-02-05,12.173715,12.083789,12.359187,11.988243,776100
2010-02-08,12.347948,12.356378,12.508128,12.187767,297600
2010-02-09,12.463163,12.460353,12.589622,12.336705,272700
2010-02-10,12.436469,12.429443,12.550282,12.322656,453600
2010-02-11,12.609298,12.49408,12.803201,12.415395,451500
2010-02-12,12.769472,12.631773,13.008338,12.530606,514500
2010-02-16,13.064543,13.008339,13.191001,12.938085,432000
2010-02-17,13.133394,13.241586,13.264067,13.00272,336300
2010-02-18,13.103887,13.101077,13.210674,12.9971,1072200
2010-02-19,13.19522,13.140422,13.311843,13.078598,1324200
2010-02-22,13.251422,13.311841,13.331512,13.171332,839700
2010-02-23,12.985865,13.182578,13.182578,12.789151,375000
2010-02-24,13.061735,12.935277,13.188193,12.935277,469500
2010-02-25,12.925439,12.876261,13.092645,12.758233,376200
2010-02-26,12.985862,13.072978,13.072978,12.898746,239700
2010-03-01,13.242988,13.106694,13.379281,13.106694,219900
2010-03-02,13.411598,13.393333,13.51698,13.306216,403800
2010-03-03,13.363828,13.413007,13.500122,13.227534,236700
2010-03-04,13.216295,13.29217,13.325892,13.106698,492600
2010-03-05,13.386313,13.362427,13.494505,13.278121,344700
2010-03-08,13.443922,13.474833,13.491694,13.396149,354300
2010-03-09,13.403169,13.353992,13.49169,13.314649,714300
2010-03-10,13.552115,13.435493,13.68841,13.41582,315300
2010-03-11,13.519793,13.606909,13.606909,13.432678,664200
2010-03-12,13.561947,13.629393,13.629393,13.494502,219000
2010-03-15,13.389121,13.480453,13.480453,13.29779,180900
2010-03-16,13.595668,13.421436,13.78114,13.410196,229500
2010-03-17,13.921656,13.800818,14.042494,13.800818,358500
2010-03-18,13.871067,13.986285,13.989094,13.753039,264000
2010-03-19,13.73056,13.890741,13.890741,13.570379,284100
2010-03-22,13.737584,13.567567,13.960993,13.514175,526500
2010-03-23,14.09869,13.983472,14.225148,13.972232,423900
2010-03-24,13.98488,14.112744,14.121174,13.848586,530100
2010-03-25,13.984885,14.022822,14.109939,13.859832,498000
2010-03-26,13.854208,13.949754,14.014388,13.694027,417900
2010-03-29,13.916033,13.8795,13.972236,13.859829,459300
2010-03-30,13.924461,13.91603,14.031248,13.817674,283500
2010-03-31,13.956779,13.91603,14.050921,13.862637,250200
2010-04-01,13.979262,14.014389,14.183001,13.775524,301800
2010-04-05,14.133821,13.986287,14.298217,13.969426,331800
2010-04-06,14.174565,14.202667,14.244821,14.10431,288300
2010-04-07,14.206884,14.157706,14.348799,14.064969,157200
2010-04-08,14.070593,14.17738,14.17738,13.963806,188100
2010-04-09,14.125385,14.064966,14.205476,14.045295,81600
2010-04-12,14.316479,14.261681,14.427481,14.205477,178200
2010-04-13,14.389551,14.334752,14.475262,14.303841,165600
2010-04-14,14.896785,14.753466,15.071017,14.722554,477600
2010-04-15,15.087877,15.048535,15.174993,15.000761,255900
2010-04-16,14.860246,15.026046,15.026046,14.694445,600000
2010-04-19,14.681805,14.83777,14.899593,14.464016,642000
2010-04-20,14.88976,14.896785,14.997953,14.781567,198300
2010-04-21,14.826529,15.048534,15.082255,14.570802,195900
2010-04-22,14.66494,14.587661,14.978276,14.351605,452700
2010-04-23,14.860253,14.986711,14.986711,14.733795,266700
2010-04-26,15.047132,14.9558,15.138463,14.9558,190800
2010-04-27,14.766111,14.930506,15.014812,14.517409,402900
2010-04-28,14.591884,14.643873,14.778762,14.405006,459300
2010-04-29,14.690236,14.694452,14.812479,14.567994,384600
2010-04-30,14.496338,14.823723,14.823723,14.168952,364200
2010-05-03,14.385331,14.258873,14.537081,14.233581,1291800
2010-05-04,13.996119,14.242011,14.250441,13.741797,671700
2010-05-05,13.757254,13.764281,13.980663,13.533845,1179600
2010-05-06,10.203778,13.663115,13.871068,6.536488,1384500
2010-05-07,13.022393,13.151662,13.398958,12.645828,3522600
2010-05-10,13.678568,13.798001,13.803621,13.553515,517800
2010-05-11,13.715101,13.682784,13.93289,13.497312,851400
2010-05-12,13.935698,13.809239,14.112739,13.758656,667800
2010-05-13,13.916031,14.020007,14.146466,13.685596,664800
2010-05-14,13.348374,13.615341,13.615341,13.081407,697800
2010-05-17,13.303409,13.33151,13.522604,13.084215,853200
