date,basket,trend,portfolio
2008-08-29,118139.4574589123,63093.86088972698,180640.9432824985
2008-09-02,117751.00958877907,63096.30452497414,180292.137973555
2008-09-03,116353.97613543143,63098.748254863676,179030.26679026245
2008-09-04,115335.20777738118,63101.19207939926,178110.8366541394
2008-09-05,115814.36681947726,63103.635998584556,178547.47058551764
2008-09-08,115614.99429040619,63106.080012423234,178369.8343983101
2008-09-09,114089.93518736683,63108.524120918955,176992.06286715926
2008-09-10,114345.2306827415,63110.96832407539,177226.03491375616
2008-09-11,114356.5128358088,63113.41262189619,177239.10337525792
2008-09-12,114405.52198953381,63115.85701438504,177286.32595625322
2008-09-15,113229.47694547975,63118.3015015456,176224.51503059408
2008-09-16,113572.10820238177,63120.74608338153,176537.55201775263
2008-09-17,112567.01903840585,63123.190759896504,175630.5065623396
2008-09-18,114191.09325491672,63125.63553109419,177103.62576812762
2008-09-19,114725.02119191451,63128.08039697825,177589.8427304161
2008-09-22,113766.18521072174,63130.52535755235,176724.6703130558
2008-09-23,113430.27940757122,63132.97041282017,176423.43265496806
2008-09-24,113691.03410675992,63135.41556278536,176662.34798917812
2008-09-25,114032.12760062542,63137.8608074516,176973.99362358483
2008-09-26,114154.1958667523,63140.30614682256,177087.35725094232
2008-09-29,112754.00463564266,63142.751580901895,175822.62934232643
2008-09-30,113368.83502491651,63145.19710969328,176382.087544012
