date,basket_soxl,gld,tlt,portfolio
2015-08-28,241343.91707448903,49063.36012334928,42456.557110711416,257759.46736948122
2015-08-31,241045.71825934137,49117.52526196361,42130.39580954988,257226.91210930212
2015-09-01,238535.19257944592,49289.0425588481,42433.97661822981,256136.9230720041
2015-09-02,240307.10238824596,49027.2536418587,42068.86155246093,256581.37342863085
2015-09-03,240783.4677264523,48675.18588292644,42274.017572515215,256781.43733618865
2015-09-04,239769.3971314673,48517.209080807006,42659.98990259398,256428.6767846839
2015-09-08,242563.336171976,48530.74957557207,42030.61573677271,257497.02147812038
2015-09-09,241615.4016088316,47903.35240488534,42232.274631229804,256488.6379187017
2015-09-10,241898.5858460172,48016.19362263475,41947.129854201885,256442.69157975353
2015-09-11,241890.30055712897,47916.896510569364,42211.424943630765,256655.73273026446
2015-09-14,242070.62232975932,47943.97704873461,42277.48249709134,256880.0652149369
2015-09-15,242642.74293233873,47799.54074138024,41467.29202124561,256126.914861613
2015-09-16,242768.6169812957,48435.963404027425,41310.78274668546,256665.07461126332
2015-09-17,242384.9339206942,48932.46747031406,41815.00764411431,257528.20030469517
2015-09-18,241524.63531344724,49293.557110287824,42458.309225093224,258112.3896076669
2015-09-21,241325.7521304904,48986.62899800943,41766.33153886566,256836.4606473763
2015-09-22,240056.59120221593,48652.619896200915,42347.033387793694,256374.64136765507
2015-09-23,239555.1463937135,48846.7067907299,42343.55804524016,256241.5990749984
2015-09-24,239428.334634308,49871.303693799935,42632.18905634346,257546.765723927
2015-09-25,239428.334634308,49564.37558152153,42263.601489287605,256790.47280782743
2015-09-28,239424.25882833413,48936.97841083482,42986.8738325519,257024.89385449604
2015-09-29,239513.76328228088,48738.380124420204,43108.59132447812,257028.59341922213
2015-09-30,239928.41732864795,48232.8505661731,42959.06209477954,256604.69898003517
2015-10-01,239924.35489614983,48174.17403567315,43142.335153293956,256763.8469444019
2015-10-02,240181.07220712927,49194.256387303474,43403.667748784304,258280.55946911493
2015-10-05,240181.07220712927,49094.95566431912,42814.79347012622,257468.83708210287
2015-10-06,240181.07220712927,49586.94517916603,42999.479111667904,258190.74881433707
2015-10-07,240181.07220712927,49514.72499434693,42856.61975523088,257945.01929593505
2015-10-08,240181.07220712927,49261.96156931799,42497.692968040756,257255.31844227336
2015-10-09,240176.22127503733,50042.824601603395,42609.20415692075,258178.66786942922
2015-10-12,240196.43565552242,50241.422888018,42933.26292082411,258784.46859562636
2015-10-13,240014.68402318738,50489.67492116132,43006.44495019665,259006.53873374336
2015-10-14,241014.28381227906,51369.83506551211,43382.78159826435,261002.68673271054
2015-10-15,241014.28381227906,51135.12668668795,43170.21224019731,260508.01124761684
2015-10-16,241014.28381227906,50774.03343579522,43184.13965535494,260158.64990592533
2015-10-19,241014.28381227906,50561.89149506146,43065.67399301247,259800.48207090033
2015-10-20,241014.28381227906,50882.36326165901,42800.85895180217,259805.7211418391
2015-10-21,241014.28381227906,50430.99839066137,43225.955048937765,259861.27377516907
2015-10-22,241014.28381227906,50412.943344456595,43299.147969832135,259931.33970177075
2015-10-23,241014.28381227906,50327.1831162373,42929.765795226915,259398.3694364995
2015-10-26,240997.13611962594,50295.58757526747,43215.53186254374,259700.23437636133
2015-10-27,240622.58443414405,50408.42879301688,43323.527457593875,259701.80694383473
2015-10-28,242445.85765896697,50002.19995775413,43149.30099182269,260263.62608316075
2015-10-29,241823.92396675496,49523.75409722637,42462.83630982026,258545.66857222887
2015-10-30,242219.18028160732,49334.1817541371,42783.412154459256,258997.2004406064
2015-11-02,242571.51032939306,49013.70953617467,42586.8225530987,258663.67042345417
