initial_capital,baskets.budget_mode,baskets.count,baskets.slices,entry.first_slice_mult,entry.dip_vol_mult,exit.lot_tp_vol_mult,exit.upday_sell_frac,exit.basket_sl_pct,exit.basket_tp_pct,exit.max_hold_days,regime.enabled,regime.bear_max_baskets,regime.ma_band,regime.cooldown_after_sl_days,regime.breaker_dd,costs.commission_pct,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,worst_month,ulcer_index,pct_days_dd_gt20,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,pnl_yr_cap,mdd_cap,test_pnl_yr_cap,test_mdd_cap,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
100000000,fixed,4,4,3.0,0.25,1.0,0.3,,0.2,40,True,1,0.02,20,,0.001,0.16845074156425036,0.06947923731076378,-0.21482712427395,303,915,0.6434279538615892,0.3234192960762397,-0.15029530001317792,-0.13841800170804097,0.07313093124726094,0.0018086155869779677,0.0908477635417009,408,0.8088235294117647,16330,0.16845074156425036,-0.45493914162322224,0.2681847598726586,-0.2391666039403665,0.11078114064099742,0.0664410156377937,-0.21482712427395,0.3092766607677872,0.5559546222964573,0.09656165670590325,0.07292329831824462,-0.08022449624689043,0.908990417263869,0.9683530772923388
100000000,fixed,4,4,3.0,0.25,0.5,0.2,,0.2,60,True,1,0.02,20,,0.001,0.1681450227443557,0.06941472692272499,-0.26420334745338636,626,1041,0.6188706270483255,0.26273220075295184,-0.20647833506743996,-0.17824140658310883,0.08309788190377108,0.055902663597500825,0.09525490995412027,313,0.7603833865814696,16658,0.1681450227443557,-0.4595189646380478,0.26852200382422375,-0.26209874199750066,0.11025792957485872,0.06623625461346161,-0.26420334745338636,0.2507017993977072,0.5327902120633802,0.09704211156389717,0.0732052995556769,-0.0889448814303655,0.8230411731223563,0.9614648736611533
100000000,fixed,4,6,1.0,0.25,1.0,0.1,,0.2,60,True,2,0.02,20,0.15,0.001,0.16799344613159112,0.06938270894577436,-0.22513184625350846,279,923,0.7088433849822309,0.3081870028625197,-0.11784852524292921,-0.15364205265040132,0.0750576242890682,0.0021374547846103255,0.08503145409690671,326,0.7822085889570553,18865,0.16799344613159112,-0.3870529612024248,0.2867462041940364,-0.19195774438972563,0.10156017861117166,0.06274533083082035,-0.22513184625350846,0.2787048206417066,0.5810793630149994,0.1099706040562672,0.08059115724359955,-0.06673970466788026,1.20754440920362,1.1659024329518417
100000000,fixed,4,4,2.0,0.25,0.5,0.2,,0.2,40,True,2,0.02,20,,0.001,0.1678143216464978,0.0693448432910666,-0.2695946937156545,610,972,0.6259596473437515,0.25721887302502194,-0.14470416728138058,-0.17927536008369882,0.07438250174774377,0.02680039460703716,0.09582096018205284,430,0.8069767441860465,18325,0.1678143216464978,-0.4331160103127989,0.24731202298047694,-0.32930434307296635,0.12122319866789052,0.07041200918662915,-0.2695946937156545,0.2611772814078223,0.5675634803760605,0.08410426143497216,0.0654083728816055,-0.10567262544207201,0.6189717782441329,0.8781247546847252
100000000,fixed,4,6,2.0,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,,0.001,0.16735285293350424,0.06924714868100956,-0.24377925627746944,320,952,0.6683311932369902,0.2840567722554395,-0.1293358815360096,-0.1274428919709183,0.07751831029083804,0.020059191055573824,0.09058364290613855,315,0.765079365079365,17949,0.16735285293350424,-0.44165892386995287,0.2808466556817349,-0.21371323836907924,0.10242603518157284,0.06310044459552189,-0.24377925627746944,0.25884255108113463,0.5517949578738558,0.10628183003887241,0.07852252712442631,-0.07559426605572916,1.0387365500253471,1.0950164593224674
100000000,fixed,4,6,3.0,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,0.15,0.001,0.16718945348709177,0.06921250677709878,-0.27283306806252505,320,1020,0.6661021950069071,0.2536807846226227,-0.17513067627231793,-0.15230141483223236,0.08698547658463741,0.030253206182176917,0.09107077172003195,317,0.7665615141955836,17259,0.16718945348709177,-0.5095373456644121,0.29452023115734915,-0.22641261889457673,0.0953060330997499,0.06012747852582567,-0.27283306806252505,0.22038193153348362,0.5308692815325464,0.11680204867990661,0.08434493736765769,-0.08108392730889724,1.0402177122765317,1.1252179171334291
100000000,fixed,4,6,2.0,0.25,1.0,0.1,,0.2,60,True,2,0.02,20,0.15,0.001,0.16690712501219343,0.06915258966911009,-0.2523659319694729,447,977,0.6763809853717472,0.27401713507619974,-0.17051546319988242,-0.15128558181274177,0.08368146418168439,0.018743834265044394,0.09222484783389377,317,0.7917981072555205,18754,0.16690712501219343,-0.48188872614259454,0.2793661894687145,-0.20967460520205797,0.10269898983251399,0.06321203323815938,-0.2523659319694729,0.25047768034635415,0.5634442471923566,0.10564592177757248,0.07816286801971772,-0.0740556741179983,1.0554608941264263,1.0575472027503454
100000000,fixed,4,4,3.0,0.25,0.5,0.2,,0.2,40,True,1,0.02,20,0.15,0.001,0.16682664453527235,0.0691354954537815,-0.24462875068627676,467,1055,0.6374535315905164,0.2826139415740387,-0.1782542965450178,-0.1289439714832552,0.08235863940047179,0.052614271621177246,0.09094540678680546,413,0.7796610169491526,15821,0.16682664453527235,-0.5275486025198441,0.2605756093311687,-0.3403416936398387,0.1118315375179714,0.06685036782079212,-0.24462875068627676,0.2732727352498486,0.5586684390208836,0.09295694780527325,0.07078946233617511,-0.1137651403006753,0.6222421222272682,0.9128208977081997
100000000,fixed,4,4,2.0,0.25,1.0,0.3,,0.2,60,True,2,0.02,20,0.15,0.001,0.16679711853023993,0.06912922248253506,-0.20811358655894774,406,994,0.6829207734822751,0.33217063636042016,-0.13056343071599252,-0.12223149285643953,0.06875176751238202,0.005590266359750082,0.08056038296974283,311,0.797427652733119,17150,0.16679711853023993,-0.44832773410576193,0.2751924822964316,-0.21828547232481776,0.1054639137002617,0.06433284658934446,-0.20811358655894774,0.3091237225452473,0.5799643017406082,0.10278296211247367,0.07653229806854034,-0.0756097970983658,1.0122008126668347,1.0215599660998889
100000000,fixed,4,4,1.0,0.25,1.0,0.2,,0.2,40,True,1,0.02,20,,0.001,0.16663081898480567,0.0690938752395005,-0.2544737462935782,320,929,0.6160094147915675,0.2715167133971813,-0.16255661366624907,-0.1464606799003747,0.08384288984079724,0.04883262084840513,0.09451174052705645,412,0.7864077669902912,16893,0.16663081898480567,-0.4624141443903333,0.2741505885595808,-0.3108937135923317,0.10529313074066149,0.06426411400622345,-0.2544737462935782,0.25253730470130303,0.5239891759877465,0.1022069846064497,0.07620198989279392,-0.10798897178903066,0.7056460361680598,0.9352824977290993
