regime.ref_vol_bear_abs,regime.ref_vol_bear_rel,regime.bear_max_baskets,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,worst_month,ulcer_index,pct_days_dd_gt20,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,pnl_yr_cap,mdd_cap,test_pnl_yr_cap,test_mdd_cap,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
0.04,,0,1.114313442211711,0.14403435856751257,-0.39418719619453446,450,1177,0.7777349149438638,0.36539583212751153,-0.24139403941799287,-0.248965088158831,0.13898174000046384,0.18212183871480833,0.1495730239866207,310,0.7645161290322581,15751,1.114428057308624,-2.464570032425858,2.905843166512752,-2.464570032425858,0.147426909656321,0.0781062537765862,-0.39418719619453446,0.19814508063838823,0.4884247017891994,0.822149494556257,0.2725755255987903,-0.1868736915562389,1.458608343040945,1.2541960177506464
0.025,1.8,1,1.112960299922512,0.14376465671562788,-0.3667207437818293,430,904,0.7881516392908126,0.3920276099820435,-0.1798026080490066,-0.2153641036789803,0.11077627166099369,0.09737887212073074,0.15858276849605552,321,0.7850467289719626,16845,1.1130747758390755,-2.5019218745618477,2.8041471231776742,-2.5019218745618477,0.20167507214114733,0.09337886059562606,-0.3667207437818293,0.25463206589474885,0.5683401853623931,0.6313979340208223,0.23974476956239532,-0.19678109083265571,1.2183323537233375,1.1503829393946945
,,0,1.0555915975979016,0.14453019625114116,-0.3941871961945349,450,1177,0.7631289953566041,0.3666537057682975,-0.24139403941799376,-0.24896508815883145,0.1429909829716045,0.18706093775526875,0.1549873448994216,308,0.762987012987013,15834,1.0556401883222355,-2.221692665406627,2.662217282983321,-2.221692665406627,0.1511439349655489,0.08072853060138785,-0.3941871961945349,0.20479744492144183,0.49487436588815065,0.761979571009106,0.26291408235337443,-0.18687369155623912,1.4069079503053064,1.1778236167620553
,2.2,0,1.0555915975979016,0.14453019625114116,-0.3941871961945349,450,1177,0.7631289953566041,0.3666537057682975,-0.24139403941799376,-0.24896508815883145,0.1429909829716045,0.18706093775526875,0.1549873448994216,308,0.762987012987013,15834,1.0556401883222355,-2.221692665406627,2.662217282983321,-2.221692665406627,0.1511439349655489,0.08072853060138785,-0.3941871961945349,0.20479744492144183,0.49487436588815065,0.761979571009106,0.26291408235337443,-0.18687369155623912,1.4069079503053064,1.1778236167620553
0.04,1.8,0,1.0523399221469578,0.14151020045522467,-0.39418719619453446,450,1177,0.7728744644508249,0.3589923818463862,-0.24139403941799287,-0.248965088158831,0.13909911314312126,0.18212183871480833,0.14768661528270258,310,0.7451612903225806,15693,1.0524481628246642,-2.3231010421953515,2.728047964637199,-2.3231010421953515,0.147426909656321,0.0781062537765862,-0.39418719619453446,0.19814508063838823,0.4884247017891994,0.7718459416869758,0.26453777267578493,-0.18318044339801987,1.4441376370128631,1.2534532398769036
,1.5,0,1.0253842793519568,0.14321682998141627,-0.3941871961945349,450,1177,0.7849523114698824,0.36332187185181297,-0.24139403941799376,-0.24896508815883145,0.1409452461878985,0.18738768175134782,0.14962571901687502,307,0.758957654723127,15346,1.0254314795806891,-2.1731133185020264,2.5778399245524373,-2.1731133185020264,0.1511439349655489,0.08072853060138785,-0.3941871961945349,0.20479744492144183,0.49487436588815065,0.7378290917108882,0.25887037924520273,-0.21282638835702938,1.2163453096376926,1.2922763714562382
0.04,1.5,0,1.0104314720617142,0.13972413571068487,-0.39418719619453446,450,1177,0.7768952812904049,0.35446137535560623,-0.24139403941799287,-0.248965088158831,0.13907206142144649,0.18243995546365516,0.1456750478928411,307,0.758957654723127,15346,1.0105354021559834,-2.1983841271009554,2.607817238104123,-2.1983841271009554,0.147426909656321,0.0781062537765862,-0.39418719619453446,0.19814508063838823,0.4884247017891994,0.7378290917108895,0.2588703792452032,-0.21282638835703027,1.2163453096376897,1.2922763714562424
,1.8,0,0.9874355103178322,0.1415153708841843,-0.3941871961945349,450,1177,0.7572318323359917,0.3590054985305642,-0.24139403941799376,-0.24896508815883145,0.14310585398324333,0.18706093775526875,0.15272618446818062,308,0.7435064935064936,15676,0.9874809636984659,-2.0929594809202268,2.4718385622092893,-2.0929594809202268,0.1511439349655489,0.08072853060138785,-0.3941871961945349,0.20479744492144183,0.49487436588815065,0.7074893921225439,0.2536441553619859,-0.1831804433980191,1.384668312058081,1.1739459553903693
0.035,,0,0.956625449473025,0.13727173049408448,-0.3941871961945358,450,1177,0.7476666167844117,0.3482399525385379,-0.2413940394179941,-0.24896508815883134,0.13922911803632276,0.1820349761526232,0.14870465903814192,310,0.7548387096774194,15475,0.9567238452335424,-2.232781011557225,2.4548322550953836,-2.232781011557225,0.14736733546673494,0.07805850075728293,-0.3941871961945358,0.19802393763890846,0.48834470966042126,0.6943308152923048,0.2513242553410233,-0.18687369155623923,1.3448883748592713,1.172048162461273
0.035,2.2,0,0.956625449473025,0.13727173049408448,-0.3941871961945358,450,1177,0.7476666167844117,0.3482399525385379,-0.2413940394179941,-0.24896508815883134,0.13922911803632276,0.1820349761526232,0.14870465903814192,310,0.7548387096774194,15475,0.9567238452335424,-2.232781011557225,2.4548322550953836,-2.232781011557225,0.14736733546673494,0.07805850075728293,-0.3941871961945358,0.19802393763890846,0.48834470966042126,0.6943308152923048,0.2513242553410233,-0.18687369155623923,1.3448883748592713,1.172048162461273
