rules.ma_window,rules.exit_band,rules.mom_window,rules.trail_pct,rules.target_vol_annual,rules.cooldown_days,cagr,mdd,calmar,rec,uw,worst_year,expo,is_cagr,is_mdd,oos_cagr,oos_mdd,n_trades
100,0.0,60,0.25,0.35,5,0.0967919552622547,-0.49808757663883185,0.1943271822104479,436.0,2548,-0.23529774567820527,0.3212565104933398,0.049721735464753,-0.49808757663883185,0.18137528569454342,-0.4117581347564232,356
100,0.0,60,0.25,0.35,20,0.07647167580842584,-0.6452618488825388,0.11851262544168557,1454.0,3297,-0.2616381901260857,0.2854117153359412,0.007070163027869336,-0.6452618488825388,0.20902950148985666,-0.38886156544840744,272
100,0.0,60,0.25,0.5,5,0.11266121245699834,-0.6440750551006464,0.17491938488347966,1847.0,3794,-0.31121906412698574,0.43186218112557645,0.054961786561866566,-0.6440750551006464,0.21619680928168727,-0.518548153655596,344
100,0.0,60,0.25,0.5,20,0.09935821253592603,-0.7417280087954385,0.13395505004224273,3058.0,5800,-0.3319889219482237,0.3825971898375414,-0.005099766539743977,-0.7417280087954385,0.30905645541224924,-0.4918902621902035,273
100,0.0,60,0.35,0.25,5,0.09987920054437449,-0.3976705636742077,0.25116065826335765,319.0,1206,-0.18318595428538542,0.2371240703712555,0.0699184917547433,-0.3976705636742077,0.15195142684093876,-0.31546441704936856,284
100,0.0,60,0.35,0.25,20,0.07827623163959796,-0.5425399795978615,0.144277352053608,417.0,1897,-0.1976683258908991,0.2154696350332371,0.04740526653026178,-0.5425399795978615,0.1322689859788666,-0.2791069943158778,230
100,0.0,60,0.35,0.35,5,0.10800712176227445,-0.513972833485195,0.21014169373484134,448.0,2275,-0.2627733854472575,0.32762038171343594,0.07484036920511383,-0.513972833485195,0.16428137971731216,-0.45456899099728354,324
100,0.0,60,0.35,0.35,20,0.06885562139471757,-0.6452618488825391,0.10670958079105615,438.0,1911,-0.26163819012608647,0.2977656337458355,0.03597412055194371,-0.6452618488825391,0.12485784543743272,-0.42609705022993694,259
100,0.0,60,0.35,0.5,5,0.13366737852667043,-0.6480604901217034,0.20625756478622573,521.0,2480,-0.3614372062617178,0.44141516804070663,0.08922950022249676,-0.6480604901217034,0.20934782438158184,-0.5616494974699071,323
100,0.0,60,0.35,0.5,20,0.09115017457533736,-0.6819102264542192,0.13366887757248913,447.0,2548,-0.33198892194822394,0.4023924246074591,0.03721015371307024,-0.6819102264542192,0.18707379118798562,-0.528953286133852,264
100,0.0,120,0.15,0.25,5,0.05853815625681413,-0.4306813264434165,0.13591988475614802,476.0,1821,-0.19601688786716764,0.19298676691787997,0.043504962169415906,-0.4306813264434165,0.08290772746296904,-0.29270367834073807,374
100,0.0,120,0.15,0.25,20,0.031742625505762456,-0.48649566761841934,0.06524749883417182,496.0,1820,-0.1870255741140454,0.1518060606720484,0.016489591772127943,-0.48649566761841934,0.05541534946144866,-0.2918961590281778,258
100,0.0,120,0.15,0.35,5,0.062282654911207436,-0.549016343297663,0.11344408171368284,486.0,2450,-0.28996655523550907,0.2693738418126455,0.033023965915514486,-0.549016343297663,0.1108108215292325,-0.37590848162891344,401
100,0.0,120,0.15,0.35,20,0.019019943389260607,-0.5870228998823779,0.032400683845675605,2468.0,4498,-0.252260942290534,0.20781699866206854,-0.006922683902151672,-0.5870228998823779,0.06145528507189946,-0.38575159700104056,278
100,0.0,120,0.15,0.5,5,0.0714006936199596,-0.6702109691403599,0.10653465387404962,489.0,2451,-0.3930403538595837,0.3570057675426029,0.03296105777208047,-0.6702109691403599,0.13518138366658317,-0.46828640324893245,389
100,0.0,120,0.15,0.5,20,0.020238277003815863,-0.6570743800747846,0.030800587600923437,539.0,2531,-0.2802085838062879,0.2756259568724659,-0.01267811554485343,-0.6570743800747846,0.07374107227417781,-0.46803249371736133,261
100,0.0,120,0.25,0.25,5,0.10363515176044702,-0.407954138744541,0.2540362798607195,317.0,1826,-0.1960001699666144,0.21231675991514,0.07293153410572151,-0.407954138744541,0.156820123738449,-0.29546922718891244,274
100,0.0,120,0.25,0.25,20,0.09252442776359082,-0.5114080857135261,0.180920932516151,419.0,1342,-0.15033249169081486,0.18906606192297395,0.05556383271797238,-0.5114080857135261,0.15821028853548258,-0.2726889155894828,214
100,0.0,120,0.25,0.35,5,0.10991310777666685,-0.5104299844453812,0.21533434775798943,318.0,2550,-0.24472808299369586,0.2920992448279919,0.0654733230037079,-0.5104299844453812,0.18844512983913142,-0.4036657278155107,318
100,0.0,120,0.25,0.35,20,0.09297567675797813,-0.6212344545875635,0.1496627820163396,496.0,2611,-0.21726856786809,0.26116814787403897,0.04289253417291161,-0.6212344545875635,0.18328230493113074,-0.36648040846359364,245
100,0.0,120,0.25,0.5,5,0.12825198264579507,-0.6014561725168669,0.2132357909124267,1838.0,3783,-0.35184227238023236,0.3880536417302269,0.07507453691538912,-0.6014561725168669,0.22143365787346725,-0.5027407343328902,302
100,0.0,120,0.25,0.5,20,0.12407146589419127,-0.659291944518468,0.18818896078703082,455.0,2616,-0.23906575686078868,0.3456677430217747,0.050881123809722206,-0.659291944518468,0.26000857133134403,-0.4725603427233701,233
100,0.0,120,0.35,0.25,5,0.10750617061969514,-0.40795413874454056,0.2635251377778401,317.0,1554,-0.1960001699666133,0.21402564715455683,0.08529040092980278,-0.40795413874454056,0.14413621353400163,-0.32428303130372516,245
