baskets.count,baskets.slices,entry.dip_vol_mult,exit.lot_tp_vol_mult,exit.upday_sell_frac,exit.basket_sl_pct,exit.basket_tp_pct,exit.max_hold_days,regime.enabled,regime.bear_max_baskets,regime.ma_band,regime.cooldown_after_sl_days,regime.breaker_dd,costs.commission_pct,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
4,8,0.25,1.5,0.3,,0.2,60,True,1,0.02,20,,0.001,0.21417201458482663,0.07823682191533554,-0.24989979987815436,522,1110,0.679985888139841,0.3130727673790939,-0.1368469859883663,0.09724063144317865,310,0.7580645161290323,17245,0.05534726692678567,0.040700926325488496,-0.24989979987815436,0.16286898326982804,0.4022080992315344,0.2630539718662901,0.14772756191757264,-0.1096886799930088,1.3467894948411114,1.114419803668918
4,8,0.25,1.5,0.3,,0.2,60,True,1,0.02,20,0.25,0.001,0.21417201458482663,0.07823682191533554,-0.24989979987815436,522,1110,0.679985888139841,0.3130727673790939,-0.1368469859883663,0.09724063144317865,310,0.7580645161290323,17245,0.05534726692678567,0.040700926325488496,-0.24989979987815436,0.16286898326982804,0.4022080992315344,0.2630539718662901,0.14772756191757264,-0.1096886799930088,1.3467894948411114,1.114419803668918
4,8,0.25,0.5,0.2,,0.2,60,True,1,0.02,20,,0.001,0.19687047630267027,0.07511418686123417,-0.22559001898543252,508,1096,0.6885965817862804,0.33296768713018576,-0.15943824322252775,0.08928389373921486,310,0.7548387096774194,16979,0.05656873932773122,0.04137974747245998,-0.22559001898543252,0.18342898173669678,0.42502575385964564,0.23249363485690014,0.1365335888114405,-0.11991378170249445,1.1385979732519798,1.098217300991398
4,8,0.25,0.5,0.2,,0.2,60,True,1,0.02,20,0.25,0.001,0.19687047630267027,0.07511418686123417,-0.22559001898543252,508,1096,0.6885965817862804,0.33296768713018576,-0.15943824322252775,0.08928389373921486,310,0.7548387096774194,16979,0.05656873932773122,0.04137974747245998,-0.22559001898543252,0.18342898173669678,0.42502575385964564,0.23249363485690014,0.1365335888114405,-0.11991378170249445,1.1385979732519798,1.098217300991398
4,8,0.25,0.5,0.2,,0.2,60,True,1,0.02,20,0.3,0.001,0.19687047630267027,0.07511418686123417,-0.22559001898543252,508,1096,0.6885965817862804,0.33296768713018576,-0.15943824322252775,0.08928389373921486,310,0.7548387096774194,16979,0.05656873932773122,0.04137974747245998,-0.22559001898543252,0.18342898173669678,0.42502575385964564,0.23249363485690014,0.1365335888114405,-0.11991378170249445,1.1385979732519798,1.098217300991398
4,8,0.25,1.0,0.3,,0.2,60,True,1,0.02,20,0.25,0.001,0.19670182554458338,0.07508269091679276,-0.21604213204675937,524,1096,0.7152850573224359,0.3475372613918758,-0.1474861743360254,0.08375844239975293,307,0.7687296416938111,16682,0.05740400335427649,0.04184024388505603,-0.21604213204675937,0.19366705692387945,0.450738251763341,0.23106015199244143,0.13598756322430217,-0.10768076920431302,1.2628769670680933,1.112834702722598
4,8,0.25,1.0,0.3,,0.2,60,True,1,0.02,20,,0.001,0.19670182554458338,0.07508269091679276,-0.21604213204675937,524,1096,0.7152850573224359,0.3475372613918758,-0.1474861743360254,0.08375844239975293,307,0.7687296416938111,16682,0.05740400335427649,0.04184024388505603,-0.21604213204675937,0.19366705692387945,0.450738251763341,0.23106015199244143,0.13598756322430217,-0.10768076920431302,1.2628769670680933,1.112834702722598
4,8,0.25,1.0,0.3,,0.2,60,True,1,0.02,20,0.3,0.001,0.19670182554458338,0.07508269091679276,-0.21604213204675937,524,1096,0.7152850573224359,0.3475372613918758,-0.1474861743360254,0.08375844239975293,307,0.7687296416938111,16682,0.05740400335427649,0.04184024388505603,-0.21604213204675937,0.19366705692387945,0.450738251763341,0.23106015199244143,0.13598756322430217,-0.10768076920431302,1.2628769670680933,1.112834702722598
4,8,0.25,0.5,0.3,,0.2,60,True,1,0.02,20,0.3,0.001,0.13887803199774829,0.06277880877087338,-0.22129653655182324,554,1126,0.6522304322334496,0.2836863592583693,-0.15177737722170226,0.07539554315201291,307,0.7687296416938111,16139,0.04427343199472199,0.03423179995609904,-0.22129653655182324,0.15468746366070052,0.39837212782484716,0.17911827148939144,0.11472259410466146,-0.09961820135957777,1.151622821321211,1.0439815119960514
4,8,0.25,0.5,0.3,,0.2,60,True,1,0.02,20,,0.001,0.13887803199774829,0.06277880877087338,-0.22129653655182324,554,1126,0.6522304322334496,0.2836863592583693,-0.15177737722170226,0.07539554315201291,307,0.7687296416938111,16139,0.04427343199472199,0.03423179995609904,-0.22129653655182324,0.15468746366070052,0.39837212782484716,0.17911827148939144,0.11472259410466146,-0.09961820135957777,1.151622821321211,1.0439815119960514
4,8,0.25,0.5,0.3,,0.2,60,True,1,0.02,20,0.25,0.001,0.13887803199774829,0.06277880877087338,-0.22129653655182324,554,1126,0.6522304322334496,0.2836863592583693,-0.15177737722170226,0.07539554315201291,307,0.7687296416938111,16139,0.04427343199472199,0.03423179995609904,-0.22129653655182324,0.15468746366070052,0.39837212782484716,0.17911827148939144,0.11472259410466146,-0.09961820135957777,1.151622821321211,1.0439815119960514
